directors.director_name
Quentin Tarantino
Marc Webb
Frank Darabont
George Lucas
Robert Zemeckis
John Hughes
Richard Donner
Jonathan Demme
Steven Spielberg
Roger Allers
Rob Minkoff
David Fincher
John Lasseter
Joel Coen
Ethan Coen
Andy Wachowski
Lana Wachowski
Ridley Scott
Bryan Singer
Chris Columbus
Peter Jackson
Rob Cohen
Andrew Stanton
Lee Unkrich
Adam McKay
Mark Waters
Frank Miller
Robert Rodriguez
Christopher Nolan
Martin Scorsese
James McTeigue
Martin Campbell
Michael Bay
Jon Favreau
Marc Forster
Ben Stiller
Stephen Sommers
Todd Phillips
Eli Roth
J.J. Abrams
Pierre Morel
Pete Docter
Bob Peterson
Gavin Hood
Ruben Fleischer
Roland Emmerich
James Cameron
Pierre Coffin
Chris Renaud
Dennis Dugan
Dean DeBlois
Chris Sanders
Matthew Vaughn
Robert Schwentke
Joseph Kosinski
Nicolas Winding Refn
Justin Lin
David Yates
Neil Burger
Rob Marshall
Tate Taylor
Andrew Niccol
Phil Lord
Christopher Miller
Jon Hurwitz
Hayden Schlossberg
Joss Whedon
Peter Berg
Tony Gilroy
Mark Andrews
Brenda Chapman
Steve Purcell
Drew Goddard
Jay Roach
Tom Tykwer
Tim Burton
Pete Travis
David Ayer
Simon West
Anne Fletcher
Frank Coraci
Genndy Tartakovsky
Christopher McQuarrie
Andrew Dominik
John Hillcoat
Ang Lee
Rian Johnson
Steven Soderbergh
Asger Leth
RZA
Paul Thomas Anderson
Barry Sonnenfeld
Andy Fickman
Nima Nourizadeh
Dan Bradley
Peter Ramsey
Oliver Stone
Martin McDonagh
Scott Derrickson
Sam Mendes
Rupert Sanders
Olivier Megaton
Seth MacFarlane
Sean Anders
Judd Apatow
Len Wiseman
Gus Van Sant
Rich Moore
Sam Raimi
John Moore
Danny Boyle
Harmony Korine
Don Scardino
Henry Alex Rubin
Jeff Nichols
Robert Redford
Antoine Fuqua
Derek Cianfrance
Jon M. Chu
Kirk De Micco
Michael Tiddes
Zack Snyder
Guillermo del Toro
Francis Lawrence
Gore Verbinski
James Mangold
Neill Blomkamp
M. Night Shyamalan
Shane Black
Evan Goldberg
Seth Rogen
Alan Taylor
Louis Leterrier
Jeff Wadlow
Rob Zombie
Timo Vuorensola
J.A. Bayona
Youssef Delara
Michael D. Olmos
Brandon Cronenberg
Joe Wright
Justin Price
Lenny Abrahamson
Fisher Stevens
David Jacobson
David Chase
Travis Fine
Steven C. Miller
Kyung Ho Lee
Troy Duffy
Brian Helgeland
Fede Alvarez
Malcolm D. Lee
David Zucker
Allen Hughes
Kasper Barfoed
Andrés Muschietti
David A. Armstrong
Noam Murro
Tyler Perry
Nat Faxon
Jim Rash
Scott Stewart
Robert Crombie
Sofya Skya
Thor Freudenthal
Sofia Coppola
Seth Gordon
Justin Zackham
Eran Creevy
Eli Dorsey
Elizabeth Banks
Steven Brill
Steve Carr
Rusty Cundieff
James Duffy
Griffin Dunne
Peter Farrelly
Patrik Forsberg
Will Graham
James Gunn
Brett Ratner
Jonathan van Tulleken
Bob Odenkirk
Tom Elkins
Brad Anderson
Malik Bader
Tommy Wirkola
James DeMonaco
Ric Roman Waugh
Francis Ford Coppola
Milos Forman
Irvin Kershner
Brian De Palma
Richard Marquand
Ivan Reitman
John Milius
Stanley Kubrick
John McTiernan
Luc Besson
Michael Mann
Peter Weir
Mike Judge
Ash Brannon
Mary Harron
Keenen Ivory Wayans
Guy Ritchie
David Silverman
Hayao Miyazaki
F. Gary Gray
Rawson Marshall Thurber
Jeff Schaffer
Alec Berg
David Mandel
Alfonso Cuarón
Brad Bird
Jared Hess
Edgar Wright
Paul Haggis
Andrew Adamson
Mike Newell
Joe Ranft
Paul Greengrass
Jan Pinkava
Greg Mottola
Doug Liman
Clint Eastwood
David Gordon Green
David Wain
Timur Bekmambetov
McG
Joe Carnahan
Darren Aronofsky
Albert Hughes
Sylvester Stallone
Nicholas Stoller
Phillip Noyce
Ben Affleck
Jake Kasdan
Jonathan Liebesman
Brad Lewis
David Dobkin
D.J. Caruso
Carlos Saldanha
Rupert Wyatt
Wes Craven
Duncan Jones
Jonathan Levine
Alexander Payne
George Clooney
Tarsem Singh
Shawn Levy
Tomas Alfredson
Cameron Crowe
Michael Apted
Curtis Hanson
Bradley Parker
Josh Trank
Marcus Dunstan
Baltasar Kormákur
Larry Charles
Josh Schwartz
Mark Tonderai
Steve Martino
Mike Thurmeier
James Mather
Stephen St. Leger
Kyle Balda
Eric Darnell
Tom McGrath
Conrad Vernon
Peter Hedges
Chris Butler
Sam Fell
David Koepp
Paul W.S. Anderson
Daniel Espinosa
Michael J. Bassett
Akiva Schaffer
Jee-Woon Kim
Joon-ho Bong
Chan-wook Park
Dan Scanlon
Kimberly Peirce
David Twohy
Spike Lee
Alonso Mayo
Benh Zeitlin
Stefan Ruzowitzky
Walter Salles
Lee Daniels
Pascal Laugier
Don Coscarelli
Nick Murphy
Steve McQueen
John Madden
Kathryn Bigelow
Richard Kelly
Jim Jarmusch
Tony Kaye
Richard Linklater
Patrick Hughes
Conor Allyn
Niels Arden Oplev
Jon Lucas
Scott Moore
Taylor Hackford
Bank Tangjaitrong
Cal Brunker
Matt Orlando
Chris Wedge
Gabriel Sabloff
Guy Hamilton
Rob Reiner
Barry Levinson
Paul Verhoeven
David M. Evans
Alex Proyas
Bobby Farrelly
Terry Gilliam
Tom Shadyac
Joe Johnston
Vicky Jenson
Eric Bress
J. Mackye Gruber
Ken Kwapis
Jay Chandrasekhar
Tim Story
Christophe Gans
Edward Zwick
Xavier Gens
Mark Osborne
John Stevenson
Gabriele Muccino
Ron Howard
Peter Billingsley
Harald Zwart
Nimród Antal
Mike Mitchell
Tony Scott
Patrick Lussier
Michel Gondry
James Wan
Jennifer Yuh
Catherine Hardwicke
Jaume Collet-Serra
Stephen Daldry
Gary McKendry
James Bobin
Chris Miller
Mike McCoy
Scott Waugh
Mabrouk El Mechri
Heitor Dhalia
Brad Peyton
Scott Hicks
Henry Joost
Ariel Schulman
Ole Bornedal
Gareth Evans
Robert Lorenz
Måns Mårlind
Björn Stein
James Watkins
Jen Soska
Sylvia Soska
Philipp Stölzl
Stephen Frears
Jake Schreier
David Guy Levy
Walter Hill
Michael Hoffman
Rodrigo Cortés
Nicholas Jarecki
Barry Battles
Terrence Malick
William Friedkin
Debra Granik
Gregory Read
Kurt Wimmer
Gareth Edwards
Paul Feig
Jim Sharman
Terry Jones
John G. Avildsen
John Carpenter
James L. Brooks
Wolfgang Petersen
Joel Schumacher
Mel Brooks
Agnieszka Holland
Lasse Hallström
Iain Softley
Peter MacDonald
Tony Bancroft
Barry Cook
Dominic Sena
Kevin Smith
Joel Gallen
Lee Tamahori
John Singleton
Peter Segal
Rob Schmidt
Terry Zwigoff
Brad Silberling
Kelly Asbury
Andrew Douglas
Adam Shankman
George A. Romero
Mark Neveldine
Brian Taylor
Nicholaus Goossen
Jonathan Dayton
Valerie Faris
Paul McGuigan
Mel Gibson
Juan Carlos Fresnadillo
Kirsten Sheridan
Gabor Csupo
Matt Reeves
Oren Peli
Robert Luketic
Byron Howard
Chris Williams
Eric Brevig
Shane Acker
Peter Cornwell
Dennis Iliadis
Grant Heslov
Rob Letterman
Nick Cassavetes
Christian Alvart
George Tillman Jr.
Steve Pink
Paul Weitz
Ethan Maniquis
Alexandre Aja
Jon Turteltaub
Tim Hill
Raja Gosnell
Chris Gorak
Craig Gillespie
George Miller
Gary Eck
David Peers
