writer
Quentin Tarantino
Roger Avary
Alex Kurtzman
Roberto Orci
Jeff Pinkner
James Vanderbilt
Stan Lee
Steve Ditko
Stephen King
Frank Darabont
George Lucas
Robert Zemeckis
Bob Gale
John Hughes
Steven Spielberg
Chris Columbus
Thomas Harris
Ted Tally
Michael Crichton
David Koepp
Irene Mecchi
Jonathan Roberts
Linda Woolverton
Brenda Chapman
Burny Mattinson
Barry Johnson
Lorna Cook
Thom Enriquez
Andy Gaskill
Gary Trousdale
Jim Capobianco
Kevin Harkey
Jorgen Klubien
Chris Sanders
Tom Sito
Larry Leker
Joe Ranft
Rick Maki
Ed Gombert
Francis Glebas
Mark Kausler
J.T. Allen
George Scribner
Miguel Tejada-Flores
Jenny Tripp
Bob Tzudiker
Christopher Vogler
Kirk Wise
Noni White
Andrew Kevin Walker
John Lasseter
Pete Docter
Andrew Stanton
Joss Whedon
Joel Cohen
Alec Sokolow
Ethan Coen
Joel Coen
Robert Rodat
Chuck Palahniuk
Jim Uhls
Andy Wachowski
Lana Wachowski
David Franzoni
John Logan
William Nicholson
Tom DeSanto
Bryan Singer
David Hayter
J.K. Rowling
Steve Kloves
J.R.R. Tolkien
Fran Walsh
Philippa Boyens
Peter Jackson
Stephen Sinclair
Rich Wilkes
Bob Peterson
David Reynolds
Will Ferrell
Adam McKay
Rosalind Wiseman
Tina Fey
Frank Miller
Bob Kane
David S. Goyer
Christopher Nolan
William Monahan
Alan Mak
Felix Chong
Jonathan Nolan
Christopher Priest
David Lloyd
Neal Purvis
Robert Wade
Paul Haggis
Ian Fleming
John Rogers
Mark Fergus
Hawk Ostby
Art Marcum
Matt Holloway
Don Heck
Larry Lieber
Jack Kirby
Justin Theroux
Ben Stiller
Etan Cohen
Stuart Beattie
David Elliot
Paul Lovett
Michael Gordon
Stephen Sommers
Jon Lucas
Scott Moore
Gene Roddenberry
Luc Besson
Robert Mark Kamen
Thomas McCarthy
David Benioff
Skip Woods
Rhett Reese
Paul Wernick
Roland Emmerich
Harald Kloser
James Cameron
Cinco Paul
Ken Daurio
Sergio Pablos
Adam Sandler
Fred Wolf
William Davies
Dean DeBlois
Cressida Cowell
Adam F. Goldberg
Jane Goldman
Matthew Vaughn
Mark Millar
John Romita Jr
Jon Hoeber
Erich Hoeber
Warren Ellis
Cully Hamner
Laeta Kalogridis
Dennis Lehane
Edward Kitsis
Adam Horowitz
Brian Klugman
Lee Sternthal
Steven Lisberger
Bonnie MacBird
Lee Unkrich
Michael Arndt
Hossein Amini
James Sallis
Chris Morgan
Gary Scott Thompson
Leslie Dixon
Alan Glynn
Ted Elliott
Terry Rossio
Jay Wolpert
Tim Powers
Ashley Miller
Zack Stentz
Sheldon Turner
Steven Zaillian
Stieg Larsson
Tate Taylor
Kathryn Stockett
Andrew Niccol
Michael Bacall
Jonah Hill
Patrick Hasburgh
Stephen J. Cannell
Alvin Sargent
Jon Hurwitz
Hayden Schlossberg
Adam Herz
Zak Penn
Tony Gilroy
Dan Gilroy
Mark Andrews
Steve Purcell
Drew Goddard
Chris Henchy
Shawn Harwell
David Mitchell
Tom Tykwer
Seth Grahame-Smith
John August
Dan Curtis
John Wagner
Carlos Ezquerra
Alex Garland
David Ayer
Richard Wenk
Sylvester Stallone
Ken Kaufman
David Agosto
Dave Callaham
John Gatins
Dan Fogelman
Allan Loeb
Kevin James
Rock Reuben
Guillermo del Toro
Peter Baynham
Robert Smigel
Todd Durham
Dan Hageman
Kevin Hageman
Lee Child
Christopher McQuarrie
Michael Chabon
Edgar Rice Burroughs
Andrew Dominik
George V. Higgins
Nick Cave
Matt Bondurant
Yann Martel
David Magee
Rian Johnson
Reid Carolin
Pablo F. Fenjves
RZA
Eli Roth
Paul Thomas Anderson
Lowell Cunningham
Lisa Addario
Joe Syracuse
Matt Drake
Jon Spaihts
Damon Lindelof
Dan O'Bannon
Ronald Shusett
Carl Ellsworth
Jeremy Passmore
Kevin Reynolds
John Milius
David Lindsay-Abaire
William Joyce
Shane Salerno
Don Winslow
Oliver Stone
Martin McDonagh
Scott Derrickson
C. Robert Cargill
Evan Daugherty
John Lee Hancock
